RX Date/Time,Packet Cnt(field 1),Status(field 2),IsCameraOn(field 3),IsMotorOn(field 4),IsBuzzerOn(field 5),Accelerometer X(field 6),Accelerometer Y(field 7),Accelerometer Z(field 8),Gyro X(field 9),Gyro Y(field 10),Gyro Z(field 11),Temperature(field 12),Pressure(field 13),Altitude(field 14),Latitude(field 15),Longitude(field 16),Altitude(field 17)
2024/08/08/ 14:13:58::824,1,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024/08/08/ 14:13:58::912,2,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024/08/08/ 14:13:58::981,3,0,0,0,0,8.32,-2.95,4.07,1.70,357.19,359.12,0.00,0.00,0.00,0.00,0.00,0.00
2024/08/08/ 14:13:59::344,4,0,0,0,0,8.28,-3.24,4.06,358.95,352.40,357.45,36.02,0.99,67.55,0.00,0.00,0.00
2024/08/08/ 14:14:00::328,5,0,0,0,0,7.80,-3.23,4.72,354.87,352.23,358.88,36.02,0.99,67.55,0.00,0.00,0.00
2024/08/08/ 14:14:01::345,6,0,0,0,0,7.46,-4.21,5.14,354.92,350.04,350.97,36.06,0.99,67.90,0.00,0.00,0.00
2024/08/08/ 14:14:02::335,7,0,0,0,0,6.76,-5.56,4.55,0.81,347.94,348.15,36.09,0.99,67.39,0.00,0.00,0.00
2024/08/08/ 14:14:03::336,8,0,0,0,0,6.75,-6.07,-1.75,54.37,345.34,336.89,36.10,0.99,68.08,0.00,0.00,0.00
2024/08/08/ 14:14:07::005,9,0,0,0,0,-1.31,-7.94,6.59,280.92,332.84,274.92,36.18,0.99,67.58,0.00,0.00,0.00
2024/08/08/ 14:14:08::028,10,0,0,0,0,-0.25,-6.90,7.44,298.88,330.50,271.12,36.18,0.99,67.58,0.00,0.00,0.00
2024/08/08/ 14:14:09::627,11,0,0,0,0,-1.11,-5.21,8.11,295.00,314.62,262.32,36.24,0.99,67.24,0.00,0.00,0.00
2024/08/08/ 14:14:10::631,12,0,0,0,0,-0.27,-0.27,10.12,312.84,279.75,252.85,36.25,0.99,67.76,0.00,0.00,0.00
2024/08/08/ 14:14:11::628,13,0,0,0,0,-0.27,-0.26,10.13,313.94,276.01,253.76,36.25,0.99,67.76,0.00,0.00,0.00
2024/08/08/ 14:14:12::628,14,0,0,0,0,-0.27,-0.28,10.13,314.88,272.54,254.78,36.31,0.99,67.17,0.00,0.00,0.00
2024/08/08/ 14:14:13::625,15,0,0,0,0,-0.29,-0.26,10.14,315.85,268.88,255.64,36.33,0.99,66.75,0.00,0.00,0.00
2024/08/08/ 14:14:14::634,16,0,0,0,0,-0.28,-0.27,10.15,316.85,265.27,256.63,36.33,0.99,66.75,0.00,0.00,0.00
2024/08/08/ 14:14:15::642,17,0,0,0,0,-0.28,-0.28,10.14,317.97,261.55,257.36,36.33,0.99,66.75,0.00,0.00,0.00
2024/08/08/ 14:14:16::635,18,0,0,0,0,-0.29,-0.28,10.11,318.97,258.00,258.32,36.39,0.99,67.01,0.00,0.00,0.00
2024/08/08/ 14:14:17::648,19,0,0,0,0,-0.28,-0.27,10.13,321.06,250.78,260.24,36.40,0.99,66.76,0.00,0.00,0.00
2024/08/08/ 14:14:18::638,20,0,0,0,0,-0.28,-0.27,10.13,322.01,247.26,261.19,36.43,0.99,66.93,0.00,0.00,0.00
2024/08/08/ 14:14:19::641,21,0,0,0,0,-0.28,-0.27,10.13,322.96,243.75,262.08,36.44,0.99,67.87,0.00,0.00,0.00
2024/08/08/ 14:14:20::623,22,0,0,0,0,-0.27,-0.28,10.12,323.98,240.18,263.00,36.46,0.99,67.11,0.00,0.00,0.00
2024/08/08/ 14:14:21::639,23,0,0,0,0,-0.27,-0.28,10.14,324.88,236.35,264.27,36.48,0.99,67.45,0.00,0.00,0.00
2024/08/08/ 14:14:22::647,24,0,0,0,0,-0.28,-0.27,10.13,325.95,232.63,265.22,36.50,0.99,66.60,0.00,0.00,0.00
2024/08/08/ 14:14:23::637,25,0,0,0,0,-0.28,-0.27,10.15,327.28,227.16,267.66,36.52,0.99,67.37,0.00,0.00,0.00
2024/08/08/ 14:14:24::651,26,0,0,0,0,-0.28,-0.28,10.13,328.17,223.60,268.67,36.52,0.99,67.20,0.00,0.00,0.00
2024/08/08/ 14:14:25::644,27,0,0,0,0,-0.27,-0.28,10.13,330.05,216.56,270.27,36.55,0.99,67.04,0.00,0.00,0.00
2024/08/08/ 14:14:26::641,28,0,0,0,0,-0.28,-0.28,10.13,331.07,212.99,270.91,36.57,0.99,66.62,0.00,0.00,0.00
2024/08/08/ 14:14:27::650,29,0,0,0,0,-0.28,-0.29,10.13,331.90,209.49,271.63,36.59,0.99,66.62,0.00,0.00,0.00
2024/08/08/ 14:14:28::641,30,0,0,0,0,-0.27,-0.29,10.14,332.72,205.87,272.10,36.59,0.99,66.62,0.00,0.00,0.00
2024/08/08/ 14:14:29::653,31,0,0,0,0,-0.28,-0.29,10.14,333.73,202.58,272.72,36.63,0.99,66.88,0.00,0.00,0.00
2024/08/08/ 14:14:30::634,32,0,0,0,0,-0.28,-0.28,10.13,334.69,199.04,273.65,36.63,0.99,67.90,0.00,0.00,0.00
2024/08/08/ 14:14:31::646,33,0,0,0,0,-0.28,-0.28,10.12,335.57,195.30,274.41,36.64,0.99,66.97,0.00,0.00,0.00
2024/08/08/ 14:14:32::660,34,0,0,0,0,-0.28,-0.28,10.13,337.66,187.90,276.18,36.67,0.99,66.80,0.00,0.00,0.00
2024/08/08/ 14:14:33::651,35,0,0,0,0,-0.27,-0.27,10.14,338.58,184.16,277.11,36.69,0.99,67.15,0.00,0.00,0.00
2024/08/08/ 14:14:34::659,36,0,0,0,0,-0.28,-0.27,10.13,339.37,180.47,277.92,36.71,0.99,66.81,0.00,0.00,0.00
2024/08/08/ 14:14:35::652,37,0,0,0,0,-0.28,-0.28,10.14,340.39,176.97,278.93,36.72,0.99,67.32,0.00,0.00,0.00
2024/08/08/ 14:14:36::658,38,0,0,0,0,-0.29,-0.28,10.13,341.26,173.41,279.76,36.73,0.99,67.33,0.00,0.00,0.00
2024/08/08/ 14:14:37::644,39,0,0,0,0,-0.28,-0.29,10.13,342.27,169.99,280.88,36.75,0.99,67.75,0.00,0.00,0.00
2024/08/08/ 14:14:38::647,40,0,0,0,0,-0.28,-0.28,10.12,343.29,166.40,281.62,36.75,0.99,67.75,0.00,0.00,0.00
2024/08/08/ 14:14:39::666,41,0,0,0,0,-0.28,-0.27,10.13,344.28,162.66,282.39,36.79,0.99,68.02,0.00,0.00,0.00
2024/08/08/ 14:14:40::652,42,0,0,0,0,-0.28,-0.28,10.11,346.39,155.42,283.99,36.78,0.99,68.19,0.00,0.00,0.00
2024/08/08/ 14:14:41::660,43,0,0,0,0,-0.28,-0.27,10.11,347.55,151.83,285.04,36.79,0.99,67.68,0.00,0.00,0.00
2024/08/08/ 14:14:42::657,44,0,0,0,0,-0.28,-0.28,10.11,348.28,148.15,285.77,36.81,0.99,67.85,0.00,0.00,0.00
2024/08/08/ 14:14:43::663,45,0,0,0,0,-0.29,-0.28,10.12,349.02,144.43,286.77,36.83,0.99,67.52,0.00,0.00,0.00
2024/08/08/ 14:14:44::642,46,0,0,0,0,-0.28,-0.28,10.11,350.05,140.74,287.62,36.83,0.99,67.86,0.00,0.00,0.00
